ca1,co2,Columna1,Columna2,Columna2
08331120,0,,,
08331121,0,,,
08331122,0,,,
08331123,0,,,
08331124,0,,,
08331125,0,,,
08331126,0,,,
08331127,0,,,
08331128,0,,,
08331129,0,,,
08331130,0,,,
08331131,0,,,
08331132,0,,,
08331133,0,,,
08331134,0,,,
08331135,0,,,
08331136,0,,,
08331137,0,,,
08331138,0,,,
08331139,0,,,
08331140,0,,,
08331141,0,,,
08331142,0,,,
08331143,0,,,
08331144,0,,,
08331145,0,,,
08331146,0,,,
08331147,0,,,
08331148,0,,,
08331149,0,,,
08331150,0,,,
08331151,0,,,
08331152,0,,,
08331153,0,,,
08331154,0,,,
08331155,0,,,
08331156,0,,,
08331157,0,,,
08331158,0,,,
08331159,0,,,
08331160,0,,,
08331161,0,,,
08331162,0,,,
08331163,0,,,
08331164,0,,,
08331165,0,,,
08331166,0,,,
08331167,0,,,
08331168,0,,,
08331169,0,,,
08331170,0,,,
08331171,0,,,
08331172,0,,,
08331173,0,,,
08331174,0,,,
08331175,0,,,
08331176,0,,,
08331177,0,,,
08331178,0,,,
08331179,0,,,
08331180,0,,,
08331181,0,,,
08331182,0,,,
08331183,0,,,
08331184,0,,,
08331185,0,,,
08331186,0,,,
08331187,0,,,
08331188,0,,,
08331189,0,,,
08331190,0,,,
08331191,0,,,
08331192,0,,,
08331193,0,,,
08331194,0,,,
08331195,0,,,
08331196,0,,,
08331197,0,,,
08331198,0,,,
08331199,0,,,
08331200,0,,,
08331201,0,,,
08331202,0,,,
08331203,0,,,
08331204,0,,,
08331205,0,,,
08331206,0,,,
08331207,0,,,
08331208,0,,,
08331209,0,,,
08331210,0,,,
08331211,0,,,
08331212,0,,,
08331213,0,,,
08331214,0,,,
08331215,0,,,
08331216,0,,,
08331217,0,,,
08331218,0,,,
08331219,0,,,
08331220,0,,,
08331221,0,,,
08331222,0,,,
08331223,0,,,
08331224,0,,,
08331225,0,,,
08331226,0,,,
08331227,0,,,
08331228,0,,,
08331229,0,,,
08331230,0,,,
08331231,0,,,
08331232,0,,,
08331233,0,,,
08331234,0,,,
08331235,0,,,
08331236,0,,,
08331237,0,,,
08331238,0,,,
08331239,0,,,
08331240,0,,,
08331241,0,,,
08331242,0,,,
08331243,0,,,
08331244,0,,,
08331245,0,,,
08331246,0,,,
08331247,0,,,
08331248,0,,,
08331249,0,,,
08331250,0,,,
08331251,0,,,
08331252,0,,,
08331253,0,,,
08331254,0,,,
08331255,0,,,
08331256,0,,,
08331257,0,,,
08331258,0,,,
08331259,0,,,
08331260,0,,,
08331261,0,,,
08331262,0,,,
08331263,0,,,
08331264,0,,,
08331265,0,,,
08331266,0,,,
08331267,0,,,
08331268,0,,,
08331269,0,,,
08331270,0,,,
08331271,0,,,
08331272,0,,,
08331273,0,,,
08331274,0,,,
08331275,0,,,
08331276,0,,,
08331277,0,,,
08331278,0,,,
08331279,0,,,
08331280,0,,,
08331281,0,,,
08331282,0,,,
08331283,0,,,
08331284,0,,,
08331285,0,,,
08331286,0,,,
08331287,0,,,
08331288,0,,,
08331289,0,,,
08331290,0,,,
08331291,0,,,
08331292,0,,,
08331293,0,,,
08331294,0,,,
08331295,0,,,
08331296,0,,,
08331297,0,,,
08331298,0,,,
08331299,0,,,
08331300,0,,,
08331301,0,,,
08331302,0,,,
08331303,0,,,
08331304,0,,,
08331305,0,,,
08331306,0,,,
08331307,0,,,
08331308,0,,,
08331309,0,,,
08331310,0,,,
08331311,0,,,
08331312,0,,,
08331313,0,,,
08331314,0,,,
08331315,0,,,
08331316,0,,,
08331317,0,,,
08331318,0,,,
08331319,0,,,
08331320,0,,,
08331321,0,,,
08331322,0,,,
08331323,0,,,
08331324,0,,,
08331325,0,,,
08331326,0,,,
08331327,0,,,
08331328,0,,,
08331329,0,,,
08331330,0,,,
08331331,0,,,
08331332,0,,,
08331333,0,,,
08331334,0,,,
08331335,0,,,
08331336,0,,,
08331337,0,,,
08331338,0,,,
08331339,0,,,
08331340,0,,,
08331341,0,,,
08331342,0,,,
08331343,0,,,
08331344,0,,,
08331345,0,,,
08331346,0,,,
08331347,0,,,
08331348,0,,,
08331349,0,,,
08331350,0,,,
08331351,0,,,
08331352,0,,,
08331353,0,,,
08331354,0,,,
08331355,0,,,
08331356,0,,,
08331357,0,,,
08331358,0,,,
08331359,0,,,
08331360,0,,,
08331361,0,,,
08331362,0,,,
08331363,0,,,
08331364,0,,,
08331365,0,,,
08331366,0,,,
08331367,0,,,
08331368,0,,,
08331369,0,,,
08331370,0,,,
08331371,0,,,
08331372,0,,,
08331373,0,,,
08331374,0,,,
08331375,0,,,
08331376,0,,,
08331377,0,,,
08331378,0,,,
